More Info,Дополнительно
Connections,Связи
Order Confirmation No,Номер подтверждения заказа
Is Subcontracted,Субподряд
Currency and Price List,Валюта и прайс-лист
Set Target Warehouse,Склад назначения
No.,№
Item Code,Код номенклатуры
Quantity,Количество
UOM,Ед. изм.
Rate,Цена
Amount,Сумма
Target Warehouse,Склад назначения
Download,Скачать
Total Quantity,Общее количество
Total,Итого
Totals,Итоги
Grand Total,Общая сумма
In Words,Сумма прописью
Disable Rounded Total,Отключить округление итога
Rounded Total,Округленная сумма
Advance Paid (Company Currency),Оплаченный аванс (в валюте компании)
Additional Discount,Дополнительная скидка
Comments,Комментарии
Type a reply / comment,Написать ответ / комментарий
Activity,Активность
New Email,Новое письмо
You last edited this,Вы редактировали последним
You created this,Вы создали документ
Assign,Назначить
Attachments,Вложения
Tags,Метки
Share,Поделиться
Last Edited By You,Последнее изменение вами
Created By You,Создано вами
Draft Need,Черновик потребности
Pending Approval,На согласовании
Approved Purchase Request,Заявка на закупку утверждена
Returned,На доработке
Rejected,Отклонено
Submit for Approval,Отправить на согласование
Approve Need,Согласовать потребность
Return for Revision,Вернуть на доработку
Reject Need,Отклонить потребность
Resubmit for Approval,Повторно отправить
Revise Need,Доработать потребность
Create Purchase Need,Создать потребность
Open Purchase Request,Открыть заявку на закупку
Purchase need for {0},Потребность для объекта {0}
"Describe the business reason and required materials, then submit for approval.","Укажите обоснование и необходимые материалы, затем отправьте потребность на согласование."
"Review the project, reason, date, and quantities before deciding.","Проверьте объект, обоснование, срок и количество перед принятием решения."
"Review the decision reason, correct the need, and resubmit.","Изучите причину возврата, исправьте потребность и отправьте повторно."
This need was rejected. Revise it only when the business requirement changes.,Потребность отклонена. Доработайте ее только при изменении бизнес-потребности.
The approved ERPNext Purchase Request is available from this need.,Утвержденная заявка на закупку доступна из этой потребности.
Row {0}: Select a stock item.,Строка {0}: выберите складскую номенклатуру.
Save,Сохранить
Not Saved,Не сохранено
Series,Серия
Status,Статус
Add row,Добавить строку
Advanced Search,Расширенный поиск
Open Link,Открыть документ
Begin typing for results.,Начните ввод для поиска.
No results found,Ничего не найдено
ERA SOFT,ERA SOFT
Applications,Приложения
Management,Управление
Construction Application,Приложение Construction
Overview,Обзор
Materials,Материалы
Contractors,Подрядчики
Business Operating Platform,Операционная платформа для бизнеса
ERA Construction,ERA Construction
ERA Concrete,ERA Concrete
ERA Education,ERA Education
ERA Finance,ERA Finance
ERA HR,ERA HR
ERA Documents,ERA Documents
ERA AI,ERA AI
Executive Dashboard,Панель руководителя
Administration,Администрирование
Active,Работает
Coming Soon,Скоро
Planned,Запланировано
Foundation,Каркас
Concrete production will be designed as an independent ERA SOFT application after the Construction pilot. No operational functionality is available yet.,Производство бетона будет спроектировано как самостоятельное приложение ERA SOFT после пилота Construction. Рабочая функциональность пока отсутствует.
Education is part of the ERA SOFT application portfolio. Its business model and first usable workflow have not been approved yet.,Education входит в портфель приложений ERA SOFT. Бизнес-модель и первый рабочий сценарий пока не утверждены.
People operations remain a planned ERA SOFT application. Standard employee records stay available without pretending the complete product exists.,Управление персоналом остается запланированным приложением ERA SOFT. Стандартные карточки сотрудников доступны без имитации готового продукта.
Document management is visible in the platform portfolio but has no approved workflow or implementation yet.,Управление документами показано в портфеле платформы, но утвержденного процесса и реализации пока нет.
AI assistance will be introduced only for approved decisions with traceable source data and human accountability.,ИИ-помощник будет добавлен только для утвержденных решений с прослеживаемыми исходными данными и ответственностью человека.
